CLASSE_STOCKAGE;DATE_LIVRAISON;QUANTITE_CONFIRMEE;Commande_Origine
1060;24/05/2025;124;PERMANENT
1060;24/05/2025;1906;PROMO
1061;24/05/2025;0;PERMANENT
1061;24/05/2025;11;PROMO
1064;24/05/2025;98;PERMANENT
1060;26/05/2025;14846;PERMANENT
1060;26/05/2025;3277;PROMO
1061;26/05/2025;48;PERMANENT
1061;26/05/2025;54;PROMO
1064;26/05/2025;60;PERMANENT
1064;26/05/2025;12;PROMO
1060;27/05/2025;43926;PERMANENT
1060;27/05/2025;20629;PROMO
1061;27/05/2025;604;PERMANENT
1061;27/05/2025;138;PROMO
1064;27/05/2025;9174;PERMANENT
1064;27/05/2025;800;PROMO
1070;27/05/2025;1364;PERMANENT
1070;27/05/2025;168;PROMO
1071;27/05/2025;2387;PERMANENT
1071;27/05/2025;378;PROMO
1072;27/05/2025;0;PERMANENT
1072;27/05/2025;0;PROMO
1060;28/05/2025;71557;PERMANENT
1060;28/05/2025;20312;PROMO
1061;28/05/2025;819;PERMANENT
1061;28/05/2025;51;PROMO
1063;28/05/2025;54;PROMO
1064;28/05/2025;8425;PERMANENT
1064;28/05/2025;2398;PROMO
1070;28/05/2025;55420;PERMANENT
1070;28/05/2025;13906;PROMO
1071;28/05/2025;16298;PERMANENT
1071;28/05/2025;1531;PROMO
1080;28/05/2025;7700;PERMANENT
1080;28/05/2025;1182;PROMO
1060;30/05/2025;6812;PERMANENT
1060;30/05/2025;5283;PROMO
1061;30/05/2025;96;PERMANENT
1061;30/05/2025;2909;PROMO
1064;30/05/2025;720;PERMANENT
1064;30/05/2025;18564;PROMO
1070;30/05/2025;36717;PERMANENT
1070;30/05/2025;9706;PROMO
1071;30/05/2025;10910;PERMANENT
1071;30/05/2025;1054;PROMO
1080;30/05/2025;7449;PERMANENT
1080;30/05/2025;1942;PROMO
1060;31/05/2025;1609;PERMANENT
1060;31/05/2025;15888;PROMO
1061;31/05/2025;1936;PROMO
1070;31/05/2025;14119;PERMANENT
1070;31/05/2025;2672;PROMO
1071;31/05/2025;815;PERMANENT
1071;31/05/2025;136;PROMO
1070;02/06/2025;328;PERMANENT
1070;02/06/2025;1280;PROMO
1080;02/06/2025;1816;PROMO
0;03/06/2025;90;PROMO
1060;03/06/2025;19835;PROMO
1061;03/06/2025;865;PROMO
1064;03/06/2025;200;PROMO
1080;03/06/2025;2759;PROMO
1060;04/06/2025;24361;PROMO
1061;04/06/2025;1818;PROMO
1064;04/06/2025;192;PROMO
1080;04/06/2025;3385;PROMO
1060;05/06/2025;2303;PROMO
1061;05/06/2025;1179;PROMO
1062;05/06/2025;182;PROMO
1063;05/06/2025;532;PROMO
1064;05/06/2025;16657;PROMO
1080;05/06/2025;2134;PROMO
1060;06/06/2025;15875;PROMO
1061;06/06/2025;360;PROMO
1060;10/06/2025;4698;PROMO
1061;10/06/2025;275;PROMO
1080;10/06/2025;3894;PROMO
1060;11/06/2025;245;PROMO
1061;11/06/2025;204;PROMO
1063;11/06/2025;42;PROMO
1064;11/06/2025;3802;PROMO
