Jour,Sec Hétérogène,Sec Homogène,Sec Méca,Surgelés,Frais Méca,Frais Manuel,Total
2025-05-05,28538,1269,51119,9665,54329,14690,159610
2025-05-06,28543,1073,57148,9700,31096,8408,135968
2025-05-07,27844,1286,69269,10675,53983,14597,177654
2025-05-08,0,0,0,0,0,0,0
2025-05-09,28538,1343,70399,12996,44892,12138,170306
2025-05-10,28538,1269,91397,12996,55320,14958,204478
2025-05-11,0,0,0,0,0,0,0
2025-05-12,24303,912,100598,10582,51609,14084,202088
2025-05-13,24397,998,62702,8725,31239,8525,136586
2025-05-14,24398,963,65567,10074,55095,15035,171132
2025-05-15,26793,995,58633,7200,27933,7623,129177
2025-05-16,24996,986,50083,9192,42899,11707,139863
2025-05-17,25046,951,81601,9192,51517,14059,182366
2025-05-18,0,0,0,0,0,0,0
2025-05-19,20979,874,77103,6627,46479,12684,164746
2025-05-20,21034,895,47100,7148,26902,7341,110420
2025-05-21,21032,922,56769,8719,53433,14582,155457
2025-05-22,19653,955,64526,4814,32982,9001,131931
2025-05-23,21357,979,46445,7537,31864,8695,116877
2025-05-24,21363,964,58701,8090,28937,7897,125952
2025-05-25,0,0,0,0,0,0,0
